,0,1,2,3,4,5,6,7,8,9,10,11,season,category,color,release_date,day,week,month,year
52,2.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,3.0,3.0,0.0,1.0,SS17,long cardigan,beige,2016-12-18,6,50,12,2016
53,2.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,SS17,medium coat,black,2016-12-18,6,50,12,2016
54,4.0,4.0,7.0,0.0,1.0,1.0,3.0,2.0,4.0,0.0,2.0,0.0,SS17,long sleeve,black,2016-12-18,6,50,12,2016
55,4.0,3.0,0.0,0.0,0.0,6.0,11.0,8.0,14.0,5.0,9.0,4.0,SS17,solid colours,yellow,2016-12-19,0,51,12,2016
56,10.0,12.0,9.0,6.0,3.0,4.0,4.0,1.0,4.0,1.0,2.0,1.0,SS17,culottes,pattern,2016-12-19,0,51,12,2016
57,5.0,5.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,SS17,long dress,red,2016-12-20,1,51,12,2016
58,2.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,SS17,doll dress,grey,2016-12-20,1,51,12,2016
59,3.0,8.0,0.0,1.0,2.0,2.0,2.0,7.0,3.0,3.0,7.0,6.0,SS17,short coat,red,2016-12-20,1,51,12,2016
60,5.0,8.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,4.0,5.0,SS17,trapeze dress,black,2016-12-21,2,51,12,2016
61,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,SS17,sleeveless,red,2016-12-21,2,51,12,2016
62,4.0,9.0,1.0,0.0,1.0,2.0,2.0,6.0,2.0,0.0,5.0,1.0,SS17,midi skirt,pattern,2016-12-22,3,51,12,2016
63,4.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,SS17,short sleeves,silver,2016-12-22,3,51,12,2016
64,2.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,8.0,6.0,SS17,doll dress,silver,2016-12-22,3,51,12,2016
65,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,SS17,long sleeve,black,2016-12-24,5,51,12,2016
66,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,SS17,short coat,black,2016-12-24,5,51,12,2016
67,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,SS17,long dress,black,2016-12-24,5,51,12,2016
68,3.0,2.0,0.0,0.0,6.0,5.0,1.0,6.0,1.0,0.0,1.0,2.0,SS17,long cardigan,grey,2016-12-26,0,52,12,2016
69,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,SS17,sleeveless,black,2016-12-27,1,52,12,2016
70,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,SS17,sleeveless,silver,2016-12-28,2,52,12,2016
71,2.0,1.0,0.0,0.0,4.0,3.0,7.0,4.0,2.0,3.0,0.0,3.0,SS17,solid colours,green,2016-12-29,3,52,12,2016
72,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,10.0,SS17,short coat,black,2016-12-30,4,52,12,2016
73,5.0,3.0,6.0,4.0,4.0,9.0,9.0,5.0,20.0,13.0,23.0,13.0,SS17,sleeveless,pattern,2017-01-03,1,1,1,2017
74,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,SS17,midi skirt,pattern,2017-01-03,1,1,1,2017
75,2.0,12.0,12.0,13.0,21.0,11.0,15.0,13.0,15.0,13.0,7.0,5.0,SS17,culottes,black,2017-01-08,6,1,1,2017
76,5.0,1.0,6.0,5.0,11.0,4.0,3.0,4.0,3.0,2.0,0.0,0.0,SS17,long sleeve,black,2017-01-09,0,2,1,2017
77,2.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,SS17,long sleeve,pattern,2017-01-09,0,2,1,2017
78,6.0,7.0,7.0,10.0,12.0,6.0,2.0,4.0,8.0,3.0,5.0,4.0,SS17,culottes,lead,2017-01-10,1,2,1,2017
79,1.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,4.0,4.0,3.0,2.0,SS17,long sleeve,white,2017-01-10,1,2,1,2017
80,1.0,1.0,1.0,2.0,0.0,4.0,3.0,1.0,3.0,2.0,0.0,0.0,SS17,solid colours,silver,2017-01-11,2,2,1,2017
81,4.0,0.0,3.0,2.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,SS17,short sleeves,black,2017-01-11,2,2,1,2017
82,3.0,1.0,0.0,2.0,1.0,4.0,2.0,2.0,5.0,6.0,3.0,0.0,SS17,sleeveless,pattern,2017-01-11,2,2,1,2017
83,2.0,1.0,7.0,4.0,6.0,14.0,4.0,9.0,13.0,6.0,8.0,4.0,SS17,long sleeve,pattern,2017-01-11,2,2,1,2017
84,4.0,6.0,6.0,5.0,12.0,12.0,4.0,8.0,10.0,6.0,9.0,5.0,SS17,culottes,military green,2017-01-11,2,2,1,2017
85,2.0,1.0,2.0,5.0,6.0,3.0,5.0,4.0,4.0,4.0,2.0,0.0,SS17,long sleeve,black,2017-01-12,3,2,1,2017
86,2.0,0.0,2.0,1.0,4.0,3.0,0.0,21.0,30.0,11.0,11.0,2.0,SS17,long sleeve,black,2017-01-12,3,2,1,2017
87,4.0,8.0,3.0,5.0,6.0,2.0,3.0,4.0,3.0,8.0,7.0,5.0,SS17,culottes,bordeaux,2017-01-12,3,2,1,2017
88,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,SS17,sheath dress,black,2017-01-12,3,2,1,2017
89,1.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,5.0,6.0,3.0,SS17,short coat,black,2017-01-12,3,2,1,2017
90,2.0,1.0,2.0,0.0,2.0,0.0,2.0,5.0,2.0,3.0,0.0,1.0,SS17,culottes,green,2017-01-12,3,2,1,2017
91,6.0,3.0,2.0,4.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,SS17,long sleeve,beige,2017-01-12,3,2,1,2017
92,3.0,3.0,2.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,SS17,long sleeve,grey,2017-01-12,3,2,1,2017
93,4.0,5.0,3.0,6.0,7.0,5.0,6.0,6.0,9.0,7.0,3.0,3.0,SS17,culottes,black,2017-01-12,3,2,1,2017
94,1.0,0.0,4.0,3.0,5.0,3.0,2.0,3.0,3.0,2.0,1.0,8.0,SS17,sheath dress,pattern,2017-01-12,3,2,1,2017
95,1.0,1.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,3.0,2.0,0.0,SS17,long sleeve,black,2017-01-12,3,2,1,2017
96,3.0,2.0,2.0,5.0,8.0,4.0,4.0,7.0,8.0,7.0,4.0,4.0,SS17,culottes,black,2017-01-13,4,2,1,2017
97,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,SS17,trapeze dress,green,2017-01-13,4,2,1,2017
98,2.0,0.0,3.0,1.0,3.0,4.0,4.0,8.0,5.0,5.0,4.0,2.0,SS17,long sleeve,pattern,2017-01-13,4,2,1,2017
99,1.0,5.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,SS17,sheath dress,green,2017-01-13,4,2,1,2017
100,4.0,7.0,9.0,5.0,8.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,SS17,long sleeve,grey,2017-01-13,4,2,1,2017
101,3.0,6.0,7.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,SS17,long sleeve,beige,2017-01-13,4,2,1,2017
102,5.0,8.0,7.0,11.0,9.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,SS17,culottes,black,2017-01-14,5,2,1,2017
103,1.0,0.0,1.0,6.0,6.0,9.0,3.0,1.0,5.0,6.0,8.0,6.0,SS17,culottes,black,2017-01-14,5,2,1,2017
104,2.0,2.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,SS17,long sleeve,black,2017-01-14,5,2,1,2017
105,1.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,15.0,13.0,14.0,8.0,SS17,midi skirt,black,2017-01-14,5,2,1,2017
106,3.0,1.0,3.0,5.0,8.0,6.0,7.0,5.0,4.0,2.0,1.0,0.0,SS17,short sleeves,green,2017-01-14,5,2,1,2017
107,1.0,0.0,0.0,0.0,0.0,1.0,3.0,24.0,14.0,7.0,8.0,10.0,SS17,short cardigan,black,2017-01-14,5,2,1,2017
108,1.0,8.0,7.0,6.0,6.0,2.0,8.0,2.0,3.0,2.0,0.0,1.0,SS17,solid colours,grey,2017-01-15,6,2,1,2017
109,1.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,SS17,tracksuit,black,2017-01-15,6,2,1,2017
110,1.0,3.0,0.0,2.0,3.0,1.0,5.0,18.0,13.0,10.0,9.0,2.0,SS17,sleeveless,black,2017-01-15,6,2,1,2017
111,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,SS17,long sleeve,black,2017-01-16,0,3,1,2017
112,4.0,4.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,6.0,0.0,1.0,SS17,sleeveless,pattern,2017-01-16,0,3,1,2017
113,4.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,0.0,4.0,3.0,SS17,culottes,black,2017-01-16,0,3,1,2017
114,1.0,1.0,5.0,4.0,4.0,10.0,9.0,5.0,2.0,1.0,1.0,5.0,SS17,long sleeve,black,2017-01-16,0,3,1,2017
115,1.0,1.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,0.0,3.0,0.0,SS17,solid colours,silver,2017-01-17,1,3,1,2017
116,5.0,7.0,7.0,6.0,9.0,1.0,5.0,2.0,2.0,2.0,1.0,0.0,SS17,culottes,pattern,2017-01-17,1,3,1,2017
117,1.0,2.0,0.0,2.0,1.0,2.0,19.0,18.0,9.0,10.0,7.0,15.0,SS17,sleeveless,cream,2017-01-17,1,3,1,2017
118,7.0,6.0,3.0,3.0,8.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,SS17,solid colours,black,2017-01-17,1,3,1,2017
119,1.0,1.0,1.0,4.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,0.0,SS17,sleeveless,cream,2017-01-18,2,3,1,2017
120,2.0,2.0,1.0,7.0,4.0,3.0,4.0,5.0,3.0,2.0,2.0,0.0,SS17,short sleeves,black,2017-01-18,2,3,1,2017
121,5.0,2.0,4.0,5.0,7.0,9.0,8.0,12.0,0.0,7.0,2.0,11.0,SS17,short sleeves,white,2017-01-18,2,3,1,2017
122,1.0,0.0,3.0,0.0,0.0,5.0,6.0,2.0,3.0,3.0,2.0,0.0,SS17,long sleeve,pattern,2017-01-18,2,3,1,2017
123,2.0,1.0,3.0,7.0,6.0,1.0,3.0,5.0,3.0,5.0,0.0,2.0,SS17,solid colours,black,2017-01-19,3,3,1,2017
124,1.0,1.0,0.0,3.0,1.0,3.0,1.0,6.0,5.0,2.0,6.0,4.0,SS17,short coat,cream,2017-01-19,3,3,1,2017
125,1.0,2.0,0.0,0.0,2.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,SS17,long coat,black,2017-01-19,3,3,1,2017
126,2.0,3.0,4.0,2.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,SS17,trapeze dress,green,2017-01-19,3,3,1,2017
127,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,SS17,trapeze dress,black,2017-01-19,3,3,1,2017
128,2.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,SS17,short coat,black,2017-01-19,3,3,1,2017
129,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,SS17,culottes,green,2017-01-19,3,3,1,2017
130,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,4.0,1.0,2.0,1.0,SS17,culottes,black,2017-01-20,4,3,1,2017
131,1.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,18.0,33.0,26.0,50.0,SS17,short coat,black,2017-01-20,4,3,1,2017
132,2.0,0.0,4.0,0.0,2.0,1.0,20.0,16.0,14.0,18.0,3.0,6.0,SS17,long sleeve,cream,2017-01-20,4,3,1,2017
133,1.0,1.0,1.0,1.0,0.0,2.0,3.0,6.0,6.0,0.0,1.0,3.0,SS17,shorts,black,2017-01-20,4,3,1,2017
134,2.0,1.0,5.0,8.0,2.0,5.0,4.0,8.0,3.0,2.0,4.0,1.0,SS17,long sleeve,yellow,2017-01-20,4,3,1,2017
135,1.0,2.0,3.0,2.0,3.0,2.0,3.0,5.0,6.0,3.0,0.0,7.0,SS17,solid colours,white,2017-01-20,4,3,1,2017
136,4.0,5.0,5.0,9.0,4.0,5.0,2.0,3.0,2.0,0.0,1.0,2.0,SS17,solid colours,black,2017-01-20,4,3,1,2017
137,1.0,3.0,0.0,6.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,SS17,long sleeve,grey,2017-01-21,5,3,1,2017
138,1.0,3.0,2.0,2.0,2.0,1.0,0.0,1.0,7.0,6.0,3.0,8.0,SS17,culottes,blue,2017-01-21,5,3,1,2017
139,4.0,2.0,10.0,4.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,SS17,culottes,pattern,2017-01-21,5,3,1,2017
140,1.0,3.0,0.0,0.0,0.0,0.0,11.0,7.0,4.0,7.0,2.0,5.0,SS17,drop sleeve,green,2017-01-21,5,3,1,2017
141,1.0,1.0,3.0,5.0,1.0,5.0,2.0,2.0,4.0,1.0,7.0,0.0,SS17,sleeveless,yellow,2017-01-22,6,3,1,2017
142,1.0,1.0,1.0,5.0,4.0,0.0,2.0,1.0,5.0,11.0,10.0,9.0,SS17,long sleeve,black,2017-01-22,6,3,1,2017
143,1.0,0.0,0.0,4.0,1.0,1.0,25.0,12.0,17.0,7.0,2.0,9.0,SS17,solid colours,military green,2017-01-22,6,3,1,2017
144,5.0,0.0,0.0,5.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,SS17,long sleeve,blue,2017-01-23,0,4,1,2017
145,1.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,SS17,culottes,pattern,2017-01-23,0,4,1,2017
146,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,5.0,1.0,3.0,SS17,printed,white,2017-01-23,0,4,1,2017
147,6.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,0.0,4.0,0.0,2.0,SS17,culottes,pattern,2017-01-23,0,4,1,2017
148,3.0,2.0,6.0,4.0,2.0,24.0,20.0,12.0,9.0,6.0,11.0,7.0,SS17,sleeveless,black,2017-01-23,0,4,1,2017
149,2.0,4.0,1.0,6.0,3.0,4.0,5.0,9.0,5.0,3.0,4.0,3.0,SS17,patterned,pattern,2017-01-24,1,4,1,2017
150,2.0,1.0,2.0,5.0,3.0,2.0,5.0,8.0,4.0,2.0,5.0,4.0,SS17,long sleeve,white,2017-01-24,1,4,1,2017
151,7.0,3.0,14.0,5.0,11.0,1.0,7.0,5.0,5.0,0.0,2.0,1.0,SS17,culottes,jeans,2017-01-24,1,4,1,2017
152,5.0,3.0,7.0,2.0,8.0,10.0,9.0,11.0,5.0,6.0,4.0,3.0,SS17,printed,white,2017-01-24,1,4,1,2017
153,2.0,1.0,4.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,SS17,solid colours,black,2017-01-24,1,4,1,2017
154,1.0,3.0,0.0,0.0,2.0,1.0,1.0,17.0,19.0,18.0,7.0,8.0,SS17,sheath dress,black,2017-01-24,1,4,1,2017
155,6.0,6.0,5.0,4.0,8.0,7.0,4.0,10.0,9.0,7.0,2.0,1.0,SS17,solid colours,grey,2017-01-24,1,4,1,2017
156,3.0,8.0,7.0,10.0,7.0,9.0,13.0,7.0,3.0,15.0,4.0,5.0,SS17,long sleeve,sky,2017-01-25,2,4,1,2017
157,1.0,0.0,3.0,0.0,2.0,3.0,0.0,3.0,1.0,6.0,7.0,1.0,SS17,solid colours,red,2017-01-25,2,4,1,2017
158,5.0,9.0,9.0,4.0,4.0,12.0,16.0,15.0,4.0,4.0,1.0,2.0,SS17,solid colours,green,2017-01-25,2,4,1,2017
159,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,SS17,solid colours,pink,2017-01-25,2,4,1,2017
160,1.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,SS17,long sleeve,grey,2017-01-25,2,4,1,2017
161,3.0,5.0,5.0,3.0,8.0,6.0,3.0,4.0,5.0,3.0,2.0,1.0,SS17,trapeze dress,pattern,2017-01-25,2,4,1,2017
162,3.0,1.0,0.0,3.0,8.0,1.0,3.0,4.0,5.0,2.0,6.0,2.0,SS17,long sleeve,pattern,2017-01-25,2,4,1,2017
163,3.0,2.0,2.0,5.0,6.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,SS17,miniskirt,black,2017-01-25,2,4,1,2017
164,4.0,5.0,10.0,10.0,11.0,14.0,8.0,7.0,5.0,5.0,2.0,0.0,SS17,doll dress,pattern,2017-01-26,3,4,1,2017
165,1.0,0.0,2.0,0.0,0.0,7.0,6.0,7.0,3.0,5.0,3.0,2.0,SS17,sheath dress,black,2017-01-26,3,4,1,2017
166,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,3.0,SS17,printed,black,2017-01-26,3,4,1,2017
167,2.0,0.0,0.0,2.0,0.0,9.0,13.0,6.0,7.0,3.0,4.0,1.0,SS17,sleeveless,cream,2017-01-26,3,4,1,2017
168,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,SS17,long sleeve,grey,2017-01-26,3,4,1,2017
169,1.0,1.0,1.0,1.0,2.0,4.0,9.0,3.0,4.0,4.0,2.0,1.0,SS17,tracksuit,black,2017-01-26,3,4,1,2017
170,2.0,2.0,4.0,5.0,2.0,4.0,5.0,3.0,6.0,3.0,2.0,1.0,SS17,printed,grey,2017-01-26,3,4,1,2017
171,1.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,SS17,solid colours,blue,2017-01-27,4,4,1,2017
172,1.0,2.0,2.0,0.0,0.0,11.0,14.0,6.0,3.0,4.0,5.0,2.0,SS17,sleeveless,black,2017-01-27,4,4,1,2017
173,1.0,1.0,1.0,0.0,4.0,3.0,3.0,22.0,29.0,32.0,21.0,12.0,SS17,tracksuit,black,2017-01-27,4,4,1,2017
174,1.0,1.0,4.0,3.0,0.0,4.0,6.0,2.0,5.0,0.0,3.0,0.0,SS17,solid colours,black,2017-01-27,4,4,1,2017
175,1.0,0.0,1.0,6.0,8.0,1.0,5.0,5.0,4.0,4.0,2.0,0.0,SS17,long sleeve,black,2017-01-27,4,4,1,2017
176,1.0,1.0,1.0,1.0,4.0,2.0,2.0,13.0,21.0,15.0,10.0,10.0,SS17,culottes,black,2017-01-27,4,4,1,2017
177,2.0,3.0,6.0,5.0,3.0,9.0,5.0,10.0,10.0,10.0,10.0,8.0,SS17,short coat,black,2017-01-27,4,4,1,2017
